iter	RMSE
0	5415559.439
1	5165653.914
2	4939405.44
3	4751292.336
4	4519639.437
5	4322084.689
6	4188893.243
7	4038461.758
8	3929044.59
9	3840049.518
10	3730338.032
11	3651424.148
12	3581433.851
13	3519465.949
14	3449975.007
15	3399141.864
16	3356741.935
17	3278316.043
18	3237483.722
19	3192260.036
20	3158258.606
21	3124320.257
22	3081720.853
23	3053616.969
24	3002149.816
25	2975913.675
26	2945973.901
27	2921628.941
28	2881620.819
29	2860378.262
30	2827640.943
31	2802280.042
32	2784170.75
33	2765282.693
34	2750228.099
35	2728429.88
36	2711054.866
37	2693590.199
38	2677552.832
39	2648732.844
40	2638040.045
41	2615812.439
42	2594549.031
43	2581671.28
44	2570565.303
45	2560820.624
46	2550466.199
47	2541121.483
48	2528691.607
49	2517636.026
50	2510589.224
51	2500457.561
52	2492247.158
53	2483534.84
54	2467076.518
55	2456704.483
56	2450952.684
57	2437881.262
58	2433449.239
59	2420458.049
60	2408104.518
61	2386082.406
62	2379137.075
63	2367278.063
64	2358271.402
65	2340825.282
66	2323367.463
67	2312992.5
68	2298453.79
69	2292722.418
70	2276504.02
71	2268061.281
72	2260069.976
73	2246788.523
74	2240265.175
75	2236082.603
76	2230160.196
77	2224045.803
78	2216284.236
79	2210601.245
80	2204728.823
81	2197427.178
82	2191025.498
83	2184488.744
84	2180570.837
85	2175277.341
86	2170927.429
87	2164631.458
88	2148524.642
89	2139167.449
90	2133604.163
91	2123462.86
92	2119365.422
93	2111585.178
94	2107025.749
95	2099131.918
96	2093097.785
97	2084718.716
98	2079652.665
99	2071916.09
100	2067868.266
101	2061884.597
102	2041132.488
103	2033424.557
104	2027248.036
105	2018758.772
106	2006689.908
107	2000372.694
108	1995505.066
109	1989687.732
110	1984564.232
111	1980285.895
112	1974954.215
113	1970641.741
114	1967564.328
115	1960019.251
116	1955506.555
117	1951548.829
118	1947729.11
119	1938562.433
120	1933712.556
121	1928923.641
122	1924249.507
123	1920804.407
124	1916148.46
125	1909629.586
126	1904574.384
127	1894571.923
128	1890730.909
129	1885798
130	1881347.233
131	1877677.118
132	1870862.373
133	1866513.025
134	1863278.073
135	1856472.127
136	1845461.151
137	1839028.968
138	1834333.492
139	1827689.366
140	1821488.328
141	1818900.204
142	1816466.986
143	1811768.674
144	1808932.586
145	1802131.351
146	1798852.177
147	1790253.946
148	1789155.477
149	1786412.624
150	1783579.075
151	1780065.544
152	1775975.179
153	1772437.603
154	1766308.627
155	1764205.743
156	1758841.057
157	1755134.536
158	1751122.025
159	1747001.668
160	1743322.364
161	1741894.638
162	1738588.653
163	1735156.894
164	1729594.642
165	1723432.77
166	1721672.027
167	1717509.872
168	1713171.051
169	1711388.188
170	1708364.097
171	1706480.001
172	1699402.937
173	1696093.864
174	1690553.916
175	1686689.21
176	1680320.109
177	1678219.05
178	1675716.503
179	1673764.028
180	1669546.481
181	1666193.415
182	1661331.584
183	1657105.974
184	1652854.696
185	1650131.626
186	1647126.825
187	1645609.275
188	1643992.291
189	1638759.498
190	1637024.201
191	1632705.643
192	1630189.598
193	1628183.453
194	1623890.755
195	1620855.039
196	1614996.551
197	1610004.666
198	1606425.183
199	1603393.541
200	1601905.259
201	1598133.521
202	1596302.018
203	1593680.185
204	1591964.495
205	1590115.303
206	1587940.559
207	1585172.854
208	1579835.968
209	1575161.725
210	1573348.834
211	1570847.074
212	1569124.683
213	1567229.39
214	1563797.088
215	1560711.54
216	1558207.525
217	1553559.757
218	1551430.61
219	1549199.67
220	1547095.365
221	1544525.247
222	1542628.062
223	1539687.399
224	1538353.09
225	1534196.807
226	1531617.391
227	1528565.323
228	1526334.452
229	1523663.212
230	1522385.587
231	1520518.775
232	1517940.416
233	1516086.305
234	1513905.276
235	1511395.18
236	1510345.723
237	1505071.086
238	1500168.807
239	1498087.067
240	1496511.681
241	1493065.738
242	1491133.707
243	1488722.753
244	1483152.899
245	1480338.23
246	1478227.329
247	1475448.713
248	1471921.129
249	1470616.073
250	1469393.536
251	1468117.274
252	1464960.969
253	1462309.653
254	1458981.689
255	1456163.358
256	1453489.454
257	1450072.993
258	1446312.258
259	1444358.277
260	1443292.495
261	1442540.568
262	1439347.848
263	1437433.52
264	1434920.673
265	1432138.39
266	1428903.946
267	1426942.451
268	1424587.365
269	1423075.462
270	1420806.491
271	1417794.333
272	1414447.412
273	1412665.642
274	1410576.612
275	1408428.865
276	1406231.585
277	1404435.922
278	1401930.273
279	1400835.511
280	1396961.418
281	1396253.44
282	1392359.825
283	1390392.159
284	1387627.393
285	1385149.796
286	1383954.821
287	1380140.428
288	1377185.755
289	1375055.279
290	1372470.116
291	1371049.179
292	1369623.335
293	1368341.338
294	1367003.523
295	1365354.676
296	1363587.403
297	1360936.532
298	1357121.967
299	1356224.781
300	1352929.008
301	1351003.663
302	1348557.772
303	1346110.136
304	1344332.323
305	1342200.179
306	1340353.831
307	1338914.702
308	1337034.249
309	1335195.401
310	1332015.39
311	1331030.567
312	1329089.062
313	1326562.617
314	1325618.264
315	1324456.924
316	1323129.956
