iter	Passed	Remaining
0	1	1646
1	2	1414
2	4	1411
3	5	1355
4	6	1317
5	7	1301
6	9	1283
7	10	1313
8	11	1300
9	13	1288
10	14	1309
11	15	1316
12	17	1314
13	18	1307
14	19	1301
15	21	1302
16	23	1334
17	24	1333
18	25	1328
19	27	1325
20	29	1368
21	30	1374
22	32	1369
23	33	1364
24	35	1368
25	36	1365
26	37	1361
27	39	1357
28	40	1355
29	41	1351
30	43	1347
31	45	1374
32	46	1376
33	48	1371
34	49	1365
35	50	1361
36	52	1361
37	53	1357
38	54	1353
39	56	1350
40	58	1376
41	61	1402
42	62	1401
43	64	1396
44	65	1393
45	66	1387
46	68	1384
47	70	1407
48	72	1409
49	74	1414
50	77	1438
51	78	1436
52	80	1432
53	81	1428
54	82	1424
55	84	1420
56	85	1414
57	86	1412
58	88	1406
59	89	1404
60	92	1426
61	94	1430
62	96	1434
63	97	1428
64	99	1426
65	100	1426
66	102	1425
67	103	1422
68	105	1421
69	106	1420
70	108	1415
71	109	1413
72	111	1409
73	112	1403
74	113	1403
75	115	1404
76	116	1398
77	118	1398
78	119	1395
79	121	1391
80	122	1390
81	125	1400
82	127	1410
83	129	1415
84	131	1412
85	132	1409
86	134	1406
87	135	1401
88	136	1397
89	137	1393
90	140	1399
91	141	1396
92	142	1394
93	144	1391
94	145	1387
95	146	1383
96	148	1380
97	149	1376
98	150	1372
99	152	1368
100	155	1385
101	157	1382
102	158	1379
103	159	1377
104	161	1372
105	162	1370
106	163	1366
107	165	1363
108	166	1359
109	168	1362
110	169	1360
111	171	1356
112	173	1363
113	174	1359
114	176	1355
115	177	1352
116	178	1348
117	179	1345
118	181	1341
119	184	1350
120	185	1347
121	186	1343
122	188	1340
123	189	1338
124	191	1339
125	192	1336
126	193	1332
127	195	1329
128	196	1326
129	197	1324
130	199	1320
131	200	1316
132	201	1312
133	202	1308
134	203	1305
135	204	1301
136	206	1297
137	207	1294
138	208	1290
139	210	1291
140	211	1290
141	213	1287
142	214	1283
143	215	1280
144	216	1276
145	217	1273
146	218	1269
147	220	1266
148	220	1261
149	222	1259
150	224	1263
151	226	1261
152	227	1258
153	228	1254
154	229	1252
155	230	1248
156	232	1250
157	234	1248
158	235	1246
159	236	1244
160	239	1248
161	241	1248
162	242	1247
163	244	1244
164	245	1241
165	246	1240
166	248	1237
167	249	1235
168	250	1232
169	252	1230
170	253	1227
171	254	1226
172	255	1223
173	257	1220
174	258	1217
175	259	1216
176	261	1213
177	262	1213
178	264	1210
179	265	1207
180	266	1205
181	267	1202
182	268	1199
183	270	1198
184	271	1195
185	272	1193
186	274	1191
187	275	1188
188	276	1185
189	277	1184
190	279	1182
191	280	1180
192	281	1177
193	283	1179
194	285	1177
195	286	1175
196	287	1173
197	288	1170
198	290	1168
199	291	1165
200	292	1163
201	293	1160
202	295	1160
203	297	1160
204	298	1159
205	300	1157
206	301	1154
207	302	1152
208	303	1150
209	305	1147
210	307	1148
211	308	1148
212	310	1145
213	311	1144
214	312	1142
215	314	1140
216	315	1139
217	317	1140
218	319	1138
219	320	1137
220	322	1135
221	323	1132
222	324	1131
223	325	1129
224	327	1127
225	328	1125
